run,label,benchmark,response_tokens_mean,assistant_turns_mean_all_messages,retrieval_rounds_mean,search_queries_mean,parallel_factor_mean,parallel_sample_rate,multi_query_round_rate,zero_search_rate,no_answer_tag_rate,empty_output_rate
e10_step70_reference_evaluations,e10_step70_reference,nq,314.312,2.296,1.2994459833795013,1.954016620498615,1.6193747526711515,0.5290858725761773,0.5290858725761773,0.0002770083102493075,0.0033240997229916896,0.0
e10_step70_reference_evaluations,e10_step70_reference,triviaqa,305.305,2.299,1.3016265912305516,1.8734087694483734,1.5324141661615152,0.4611032531824611,0.4611032531824611,0.0002652050919377652,0.0024752475247524753,0.0
e10_step70_reference_evaluations,e10_step70_reference,popqa,311.309,2.516,1.524158976967231,1.904526629368597,1.334500281984482,0.3101794666860423,0.3101794666860423,0.0005812686187604447,0.010898786601758338,0.0
e10_step70_reference_evaluations,e10_step70_reference,hotpotqa,323.382,2.642,1.6451917882225824,2.146677471636953,1.4509005749787758,0.4720421393841167,0.4720421393841167,0.0004051863857374392,0.0031064289573203676,0.0
e10_step70_reference_evaluations,e10_step70_reference,2wikimultihopqa,349.636,2.988,2.0037372773536894,2.553435114503817,1.4157314007027872,0.5298982188295165,0.5298982188295165,7.951653944020357e-05,0.011927480916030535,0.0
e10_step70_reference_evaluations,e10_step70_reference,musique,371.232,3.237,2.2517627540439653,2.5893819991704685,1.2365793683711566,0.32227291580257156,0.32227291580257156,0.0,0.007465781833264205,0.0
e10_step70_reference_evaluations,e10_step70_reference,bamboogle,283.744,2.864,1.872,2.0,1.1293333333333333,0.136,0.136,0.0,0.0,0.0
e10_step70_reference_evaluations,e10_step70_reference,OVERALL,,,1.6295580164449912,2.12802484326478,1.3058908132078864,0.4364758500810531,,0.00031249389660358197,0.0074412609128727955,
e1a_step70_reference_evaluations,e1a_step70_reference,nq,313.053,2.263,1.26398891966759,1.9229916897506925,1.6301915974145893,0.525207756232687,0.525207756232687,0.0002770083102493075,0.0013850415512465374,0.0
e1a_step70_reference_evaluations,e1a_step70_reference,triviaqa,302.567,2.282,1.2837694483734088,1.861916548797737,1.5420564760557696,0.4656117397454031,0.4656117397454031,8.84016973125884e-05,0.0011492220650636492,0.0
e1a_step70_reference_evaluations,e1a_step70_reference,popqa,312.779,2.49,1.500617597907433,1.8912301097144517,1.3418843829037852,0.31403037128533023,0.31403037128533023,0.0007992443507956114,0.008937005013441838,0.0
e1a_step70_reference_evaluations,e1a_step70_reference,hotpotqa,321.592,2.612,1.6154781199351702,2.1210156672069154,1.4607851933317904,0.4790653700702323,0.4790653700702323,0.0001350621285791464,0.0028363047001620746,0.0
e1a_step70_reference_evaluations,e1a_step70_reference,2wikimultihopqa,349.189,2.94,1.9514153944020356,2.505168575063613,1.4269363223979266,0.5336354961832062,0.5336354961832062,7.951653944020357e-05,0.00914440203562341,0.0
e1a_step70_reference_evaluations,e1a_step70_reference,musique,368.808,3.199,2.212360016590626,2.5761094981335546,1.2622207738342142,0.3425964330153463,0.3425964330153463,0.0,0.005806719203649938,0.0
e1a_step70_reference_evaluations,e1a_step70_reference,bamboogle,287.248,2.856,1.856,2.04,1.1586666666666667,0.184,0.184,0.0,0.0,0.0
e1a_step70_reference_evaluations,e1a_step70_reference,OVERALL,,,1.597742231597039,2.103630788461163,1.3166271422634037,0.4412413820042577,,0.0002929630280658581,0.005683482744477647,
gap_step120_reference_evaluations,gap_step120_reference,nq,328.909,2.468,1.4725761772853185,2.1196675900277007,1.5745891043397953,0.5240997229916897,0.5240997229916897,0.000554016620498615,0.002770083102493075,0.0
gap_step120_reference_evaluations,gap_step120_reference,triviaqa,316.063,2.448,1.4535007072135786,2.0273161244695896,1.5010992330100394,0.46101485148514854,0.46101485148514854,8.84016973125884e-05,0.0025636492220650637,0.0
gap_step120_reference_evaluations,gap_step120_reference,popqa,332.063,2.709,1.7212816973043668,2.108769890285548,1.3032929905232506,0.2997892901256993,0.2997892901256993,0.000871902928140667,0.008573712126716558,0.0
gap_step120_reference_evaluations,gap_step120_reference,hotpotqa,341.83,2.83,1.8354943273905997,2.3261750405186388,1.413299760747087,0.4639384116693679,0.4639384116693679,0.0002701242571582928,0.002971366828741221,0.0
gap_step120_reference_evaluations,gap_step120_reference,2wikimultihopqa,377.464,3.31,2.3295165394402035,2.8486800254452924,1.3341396689082998,0.4979325699745547,0.4979325699745547,0.0,0.009939567430025446,0.0
gap_step120_reference_evaluations,gap_step120_reference,musique,399.495,3.599,2.6271256739941933,2.9286603069265866,1.184835871304144,0.29282455412691827,0.29282455412691827,0.0,0.006636250518457071,0.0
gap_step120_reference_evaluations,gap_step120_reference,bamboogle,294.088,2.96,1.96,2.104,1.1266666666666665,0.144,0.144,0.0,0.0,0.0
gap_step120_reference_evaluations,gap_step120_reference,OVERALL,,,1.853733325520986,2.34331360715611,1.2641050224942842,0.42292142731587273,,0.00033202476514130583,0.0062498779320716395,
gap_step180_reference_evaluations,gap_step180_reference,nq,335.058,2.531,1.5354570637119114,2.262326869806094,1.6151516950270401,0.5515235457063712,0.5515235457063712,0.000554016620498615,0.0030470914127423824,0.0
gap_step180_reference_evaluations,gap_step180_reference,triviaqa,321.762,2.518,1.5220120226308345,2.11271216407355,1.498457285141785,0.47754596888260253,0.47754596888260253,8.84016973125884e-05,0.0022984441301272984,0.0
gap_step180_reference_evaluations,gap_step180_reference,popqa,330.46,2.747,1.7602993533386617,2.1485867906706386,1.2841695124609507,0.29848143573348834,0.29848143573348834,0.0006539271961055002,0.008355736394681392,0.0
gap_step180_reference_evaluations,gap_step180_reference,hotpotqa,347.096,2.925,1.931658562938952,2.4336844948676393,1.3998345488924915,0.467720151269584,0.467720151269584,0.0,0.004862236628849271,0.0
